PGV,N,DesignInitialPsi,InitialPsi,FinalPsi,DeltaPsi,Material,FacadeType,SoilProfile,EarthquakeType
8,1,0.0,0.0,0.36000000000000004,0.36000000000000004,0.7,A,A,ZN
128,1,0.0,0.0,2.966111111111111,2.966111111111111,0.7,A,A,ZN
16,1,0.0,0.0,0.72,0.72,0.7,A,A,ZN
32,1,0.0,0.0,1.0786666666666667,1.0786666666666667,0.7,A,A,ZN
64,1,0.0,0.0,1.691,1.691,0.7,A,A,ZN
96,1,0.0,0.0,2.5524999999999998,2.5524999999999998,0.7,A,A,ZN
2,2,0.0,0.0,0.32,0.32,0.7,A,A,ZN
4,2,0.0,0.0,0.33,0.33,0.7,A,A,ZN
8,2,0.0,0.0,0.36000000000000004,0.36000000000000004,0.7,A,A,ZN
16,2,0.0,0.0,0.7300000000000002,0.7300000000000002,0.7,A,A,ZN
32,2,0.0,0.0,1.16,1.16,0.7,A,A,ZN
64,2,0.0,0.0,1.7399999999999993,1.7399999999999993,0.7,A,A,ZN
2,4,0.0,0.0,0.32,0.32,0.7,A,A,ZN
4,4,0.0,0.0,0.33,0.33,0.7,A,A,ZN
8,4,0.0,0.0,0.36000000000000004,0.36000000000000004,0.7,A,A,ZN
16,4,0.0,0.0,0.7300000000000002,0.7300000000000002,0.7,A,A,ZN
32,4,0.0,0.0,1.2399999999999998,1.2399999999999998,0.7,A,A,ZN
2,8,0.0,0.0,0.32,0.32,0.7,A,A,ZN
4,8,0.0,0.0,0.33,0.33,0.7,A,A,ZN
16,8,0.0,0.0,0.7400000000000001,0.7400000000000001,0.7,A,A,ZN
8,1,0.5,0.4699999999999998,0.64,0.1700000000000002,0.7,A,A,ZN
128,1,0.5,0.4699999999999998,3.1079999999999997,2.638,0.7,A,A,ZN
16,1,0.5,0.4699999999999998,1.201,0.7310000000000003,0.7,A,A,ZN
32,1,0.5,0.4699999999999998,1.2204999999999997,0.7505,0.7,A,A,ZN
64,1,0.5,0.4699999999999998,1.6783333333333328,1.208333333333333,0.7,A,A,ZN
96,1,0.5,0.4699999999999998,2.7775000000000003,2.3075000000000006,0.7,A,A,ZN
2,2,0.5,0.4699999999999998,0.54,0.07000000000000023,0.7,A,A,ZN
4,2,0.5,0.4699999999999998,0.5700000000000001,0.10000000000000026,0.7,A,A,ZN
8,2,0.5,0.4699999999999998,0.66,0.19000000000000022,0.7,A,A,ZN
16,2,0.5,0.4699999999999998,1.215,0.7450000000000003,0.7,A,A,ZN
32,2,0.5,0.4699999999999998,1.251875,0.7818750000000003,0.7,A,A,ZN
64,2,0.5,0.4699999999999998,1.506666666666667,1.0366666666666673,0.7,A,A,ZN
2,4,0.5,0.4699999999999998,0.54,0.07000000000000023,0.7,A,A,ZN
4,4,0.5,0.4699999999999998,0.58,0.11000000000000015,0.7,A,A,ZN
